"","A1","Z1","Y2","L1","A0","Z0","L0"
"301",0,1,18147,-1.52409977806294,0,0,0
"302",0,0,13874,0.882538965294045,1,1,1
"303",0,1,13419,0.588262676782656,0,1,1
"304",0,0,20442,0.538805966010795,1,1,0
"305",1,1,5311,-1.52409977806294,0,1,0
"306",1,1,254,0.161907650103949,0,1,0
"307",0,1,2108,0.460778602579723,0,1,1
"308",1,1,24799,0.588262676782656,1,1,1
"309",1,1,18299,0.914923572565032,0,1,1
"310",0,0,11010,-1.52409977806294,0,1,1
"311",0,1,56087,0.460778602579723,1,0,1
"312",0,1,23453,0.376672979649578,1,1,1
"313",0,1,10101,0.708903112033694,0,0,0
"314",1,1,18009,0.858581213504869,0,1,0
"315",0,1,8945,0.908053571717931,1,1,0
"316",1,1,16689,0.0679710161657808,0,0,0
"317",0,0,0,-1.52409977806294,0,1,0
"318",0,0,6180,0.17775173402504,0,0,0
"319",0,0,0,0.254151860684496,1,1,0
"320",0,0,2577,-1.52409977806294,1,1,0
"321",1,1,24536,0.423219715793059,1,0,0
"322",1,1,51060,0.622714993047752,0,1,0
"323",1,1,28804,0.505362489320799,1,1,0
"324",1,1,13812,-1.52409977806294,1,1,1
"325",0,1,25700,-1.52409977806294,1,1,0
"326",1,1,14291,0.969992421325686,0,1,1
"327",0,1,588,0.102570790588686,0,0,0
"328",0,1,16919,-1.52409977806294,0,1,0
"329",1,1,45958,1.10301628464762,1,1,1
"330",0,1,17289,0.607249908154119,0,1,0
"331",1,1,29797,0.538805966010795,1,1,0
"332",1,1,16417,0.807972432925565,1,1,0
"333",0,1,0,-1.52409977806294,0,1,0
"334",0,1,39570,0.878690015641386,1,1,1
"335",1,1,0,0.387307408084626,1,1,1
"336",0,1,12615,0.836862310742941,1,1,0
"337",1,1,9219,0.400266011144916,1,0,1
"338",1,1,8513,-0.277053678368629,0,1,1
"339",0,0,4614,0.836862310742941,0,0,1
"340",1,1,5557,0.510227782937839,1,1,0
"341",0,0,41690,0.85010107063032,1,0,1
"342",1,1,23765,-0.457061707266294,0,1,0
"343",0,1,33403,1.03535312169876,1,1,0
"344",1,1,6930,0.190772694764817,1,1,1
"345",0,0,10953,0.648797858205049,0,1,1
"346",0,0,26475,0.718583746369592,1,1,0
"347",0,1,40629,0.405414085098056,1,1,1
"348",1,1,0,0.588262676782656,1,1,0
