recid	D2	Z2	earnings	prevearn	edu	n_hs2	n_hs2_abv	sex
301171	0	0	10416	6000	13	2	0	1
301173	1	1	462	2340	9	16	0	0
301176	1	1	96	500	10	16	0	0
301177	1	1	3297	12088	12	16	0	0
301182	1	1	14120	5200	10	9	0	0
301183	1	1	7612	1620	12	17	0	1
301184	0	0	6621	30000	12	13	0	0
301185	0	0	11712	9000	12	39	1	0
301186	0	0	25703	5000	10	1	0	0
301188	1	1	18161	9932	10	19	0	1
301189	0	1	0	0	11	15	0	1
301192	1	1	33687	12480	10	346	1	1
301196	0	0	45264	7080	10	13	0	0
301199	0	0	1368	3228	11	13	0	0
301200	1	1	1128	2664	11	17	0	0
301201	1	1	59739	3000	11	13	0	1
301202	0	0	34585	2000	13	15	0	1
301203	1	1	7634	0	10	1	0	0
301214	0	0	15720	2560	12	17	0	0
301215	1	1	62799	19609	12	0	0	1
301218	0	0	38833	11000	11	13	0	1
301220	0	1	594	400	13	13	0	1
301230	0	0	2172	12000	12	9	0	0
301232	1	1	19707	400	13	2	0	0
301234	0	0	883	2000	10	9	0	1
301236	0	0	25305	5907	12	9	0	1
301238	0	0	44727	4800	12	15	0	0
301239	0	1	3303	8284	9	13	0	1
301240	1	1	20079	5060	12	17	0	0
301241	1	1	2053	2308	9	19	0	1
301243	1	1	1644	4000	14	39	1	0
301247	1	1	51410	6000	11	15	0	1
301250	0	0	0	2200	12	19	0	1
301252	0	1	606	2000	12	17	0	1
301253	0	1	0	3220	12	13	0	1
301255	1	1	13506	3560	12	17	0	1
301256	1	1	20396	500	12	17	0	1
301264	1	1	37388	10600	12	9	0	0
301266	0	0	0	12	8	9	0	1
301268	1	1	18393	6000	14	17	0	0
301270	0	1	19358	1800	15	9	0	1
301273	1	1	13821	0	12	0	0	1
301274	0	0	65805	12000	10	15	0	1
301275	1	1	40756	0	8	19	0	1
301278	0	1	41892	1735	10	9	0	0
301279	1	1	19099	400	12	1	0	0
301283	1	1	29417	12000	14	13	0	1
301284	0	1	44804	0	12	37	1	1
301285	0	0	27842	4686	12	13	0	0
301289	0	0	0	0	12	19	0	0
301290	0	0	7767	300	12	19	0	1
301293	0	0	0	1000	14	2	0	1
301295	1	1	11477	4473	11	17	0	0
301297	1	1	26223	9000	12	15	0	0
301298	0	1	15651	0	14	13	0	0
301299	1	1	8581	6000	12	13	0	0
301306	1	1	12633	1200	12	17	0	0
301307	1	1	0	0	10	1	0	0
301309	1	1	26463	7014	13	9	0	1
301310	1	1	7065	0	11	1	0	0
301312	0	1	2109	550	13	39	1	0
301317	1	1	15794	9000	8	28	0	1
301319	1	1	4728	2600	8	16	0	0
301323	1	1	1702	0	8	13	0	0
301332	1	1	9546	5884	12	13	0	0
301334	0	1	41997	11495	10	9	0	1
301335	0	0	30168	8000	14	16	0	1
301336	0	0	31242	25000	14	16	0	1
301337	1	1	867	10000	12	0	0	0
301343	0	0	6477	0	10	13	0	0
301346	1	1	134091	0	11	15	0	1
301347	0	0	10014	5000	13	2	0	0
301350	0	0	17047	1100	12	1	0	0
301352	0	1	13443	6000	12	37	1	1
301353	1	1	27450	5647	9	0	0	1
301354	0	1	1758	4000	10	19	0	1
301356	1	1	504	3840	9	13	0	0
301357	1	1	3876	0	11	17	0	1
301360	1	1	28692	5000	12	13	0	0
301362	1	1	19327	2283	12	16	0	0
301363	0	0	41170	14000	9	1	0	1
301365	1	1	20512	4800	12	13	0	1
